기준일ID,시간대구분,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수
20250101,00,11140570,7261.8554000000004,255.0133,85.004300000000001,185.97569999999999,434.28449999999998,373.93900000000002,319.49930000000001,347.62360000000001,337.12439999999998,409.08420000000001,281.8372,254.76750000000001,194.25409999999999,149.53540000000001,274.80869999999999,88.785899999999998,41.880099999999999,162.31110000000001,489.78870000000001,398.24880000000002,271.61660000000001,324.91840000000002,218.10390000000001,221.2886,234.45840000000001,182.92949999999999,153.08510000000001,158.89269999999999,412.79570000000001,
20250101,00,11140580,6835.1278000000002,71.2365,41.051600000000001,157.94649999999999,452.54199999999997,445.07060000000001,317.94349999999997,334.11680000000001,291.15710000000001,233.30160000000001,269.87479999999999,241.34370000000001,173.8492,111.2059,260.94749999999999,99.014399999999995,57.608400000000003,139.9546,574.3723,370.99590000000001,266.23329999999999,369.82240000000002,216.8809,241.95330000000001,247.31739999999999,218.77340000000001,222.18199999999999,131.74299999999999,276.68900000000002,
20250101,00,11140590,15009.970799999999,159.6486,77.133499999999998,416.30950000000001,1027.5516,1073.0471,798.79280000000006,831.26160000000004,748.84320000000002,621.01020000000005,582.08150000000001,457.94979999999998,370.59989999999999,256.97570000000002,374.51510000000002,143.81489999999999,79.521100000000004,365.75529999999998,1484.0706,1094.3607,696.76009999999997,679.1893,511.95740000000001,475.0908,333.10930000000002,349.06389999999999,301.32940000000002,203.95500000000001,496.27370000000002,
20250101,00,11140605,7407.4035000000003,55.8707,22.7622,113.8849,458.96960000000001,627.56619999999998,417.76819999999998,422.0899,328.86919999999998,302.80360000000002,262.49639999999999,307.14179999999999,233.8476,150.31700000000001,324.63780000000003,124.9165,54.311500000000002,131.1378,541.70529999999997,621.70450000000005,404.34559999999999,301.5453,206.08690000000001,207.37309999999999,159.4956,188.15180000000001,155.11949999999999,82.580600000000004,199.90450000000001,
20250101,00,11140615,14340.545,148.1019,107.9194,192.88460000000001,469.49619999999999,714.50630000000001,757.86320000000001,826.82600000000002,731.18960000000004,652.59050000000002,604.38239999999996,574.09289999999999,428.9538,289.9633,572.0548,211.6113,91.172700000000006,155.79759999999999,810.31820000000005,869.58029999999997,660.12450000000001,795.76059999999995,610.55830000000003,562.23180000000002,469.46039999999999,490.22809999999998,435.82560000000001,266.44009999999997,840.60969999999998,
20250101,00,11140625,13746.8184,334.8256,184.96719999999999,266.39909999999998,382.3143,564.13549999999998,554.82240000000002,593.27560000000005,618.49270000000001,553.24929999999995,490.84800000000001,552.7826,381.57380000000001,310.60419999999999,687.38599999999997,366.70609999999999,176.24619999999999,268.55599999999998,493.85719999999998,623.2903,629.80449999999996,671.05780000000004,509.30119999999999,532.43859999999995,502.70089999999999,493.14260000000002,453.4828,393.99169999999998,1156.5652,
20250101,00,11140635,13910.3099,606.8212,219.56180000000001,184.5403,284.10520000000002,318.32040000000001,482.24270000000001,537.90650000000005,574.15359999999998,580.95299999999997,518.15219999999999,621.24950000000001,436.06330000000003,342.99849999999998,718.42920000000004,593.58780000000002,227.52770000000001,179.84139999999999,401.83339999999998,421.80430000000001,488.29410000000001,663.78719999999998,555.26670000000001,603.90470000000005,651.04499999999996,582.68499999999995,511.08420000000001,390.09100000000001,1214.0594000000001,
20250101,00,11140645,12376.725700000001,423.5718,201.78039999999999,279.15649999999999,267.0926,370.61939999999998,434.5412,632.3569,432.03320000000002,443.56490000000002,471.70389999999998,512.82180000000005,397.14600000000002,307.6524,667.27940000000001,386.94119999999998,196.40790000000001,205.98660000000001,383.36189999999999,409.59930000000003,495.89519999999999,655.94500000000005,444.72149999999999,534.68560000000002,480.4889,551.16010000000006,451.51679999999999,351.80799999999999,986.88630000000001,
20250101,00,11140650,6321.8177999999998,184.2797,85.236999999999995,122.0068,139.03630000000001,231.4367,232.7602,310.59780000000001,253.76560000000001,276.05799999999999,286.21409999999997,277.21629999999999,234.30019999999999,175.57259999999999,288.32670000000002,176.4374,69.201499999999996,76.0929,264.60629999999998,312.12619999999998,276.46839999999997,296.50450000000001,272.50150000000002,198.6344,225.6163,232.9092,249.3836,184.48269999999999,390.0446,
20250101,00,11140665,13313.5013,463.5221,226.5172,236.21539999999999,242.0513,382.08159999999998,397.00569999999999,628.45860000000005,530.93799999999999,650.93809999999996,480.36529999999999,566.21410000000003,453.95940000000002,318.75349999999997,787.10310000000004,384.23140000000001,225.0771,265.86919999999998,485.24439999999998,425.1354,492.62909999999999,607.37559999999996,494.53199999999998,489.81999999999999,493.40910000000002,586.14840000000004,544.57050000000004,395.47280000000001,1059.8622,
